"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20210501","9호선","노량진","19486","19311","20210504",""
"20210501","5호선","올림픽공원(한국체대)","2406","1953","20210504",""
"20210501","5호선","방이","4454","4330","20210504",""
"20210501","5호선","오금","2047","1889","20210504",""
"20210501","5호선","개롱","3667","3832","20210504",""
"20210501","5호선","거여","4254","4158","20210504",""
"20210501","5호선","마천","3633","3768","20210504",""
"20210501","5호선","강일","1847","1780","20210504",""
"20210501","5호선","미사","9348","9153","20210504",""
"20210501","5호선","하남풍산","2319","2417","20210504",""
"20210501","5호선","하남시청(덕풍·신장)","3829","3728","20210504",""
"20210501","5호선","하남검단산","4032","4180","20210504",""
"20210501","6호선","응암","10942","10916","20210504",""
"20210501","6호선","역촌","2303","2695","20210504",""
"20210501","6호선","불광","3533","3183","20210504",""
"20210501","6호선","독바위","1731","1896","20210504",""
"20210501","5호선","고덕","4900","4891","20210504",""
"20210501","5호선","명일","5125","5212","20210504",""
"20210501","5호선","굽은다리(강동구민회관앞)","6209","5897","20210504",""
"20210501","5호선","길동","5317","5548","20210504",""
"20210501","5호선","강동","10935","10470","20210504",""
"20210501","5호선","천호(풍납토성)","15026","13681","20210504",""
"20210501","5호선","광나루(장신대)","7991","7427","20210504",""
"20210501","5호선","아차산(어린이대공원후문)","10476","10284","20210504",""
"20210501","5호선","군자(능동)","7569","8370","20210504",""
"20210501","5호선","장한평","9463","9355","20210504",""
"20210501","5호선","답십리","9133","8521","20210504",""
"20210501","5호선","마장","3465","3386","20210504",""
"20210501","5호선","왕십리(성동구청)","3153","3563","20210504",""
"20210501","5호선","행당","4783","4163","20210504",""
"20210501","5호선","신금호","3541","3682","20210504",""
"20210501","5호선","청구","2264","2072","20210504",""
"20210501","5호선","동대문역사문화공원(DDP)","909","1168","20210504",""
"20210501","5호선","을지로4가","2973","3386","20210504",""
"20210501","5호선","종로3가","11340","10915","20210504",""
"20210501","5호선","광화문(세종문화회관)","12313","12388","20210504",""
"20210501","5호선","서대문","5822","5670","20210504",""
"20210501","5호선","충정로(경기대입구)","1857","1761","20210504",""
"20210501","5호선","애오개","3355","3289","20210504",""
"20210501","5호선","공덕","6925","6898","20210504",""
"20210501","5호선","마포","7045","6525","20210504",""
"20210501","5호선","여의나루","7497","11165","20210504",""
"20210501","5호선","여의도","12743","11626","20210504",""
"20210501","5호선","신길","2253","2463","20210504",""
"20210501","5호선","영등포시장","6348","6858","20210504",""
"20210501","5호선","영등포구청","1682","1695","20210504",""
"20210501","5호선","양평","3251","3101","20210504",""
"20210501","5호선","오목교(목동운동장앞)","15144","15464","20210504",""
"20210501","5호선","목동","10157","10299","20210504",""
"20210501","5호선","신정(은행정)","7912","6836","20210504",""
"20210501","5호선","까치산","18818","18198","20210504",""
"20210501","5호선","화곡","17535","16511","20210504",""
"20210501","5호선","우장산","8742","8555","20210504",""
"20210501","5호선","발산","11932","12400","20210504",""
"20210501","5호선","마곡","4703","4658","20210504",""
"20210501","5호선","송정","4635","4575","20210504",""
"20210501","5호선","김포공항","7260","7146","20210504",""
"20210501","5호선","개화산","3231","3155","20210504",""
"20210501","5호선","방화","4102","3894","20210504",""
"20210501","4호선","쌍문","18513","16954","20210504",""
"20210501","4호선","창동","16714","17797","20210504",""
"20210501","4호선","노원","14326","15242","20210504",""
"20210501","4호선","상계","12141","11395","20210504",""
"20210501","4호선","당고개","8288","8106","20210504",""
"20210501","4호선","남태령","830","569","20210504",""
"20210501","4호선","사당","17920","15152","20210504",""
"20210501","4호선","총신대입구(이수)","12643","13542","20210504",""
"20210501","4호선","동작(현충원)","1670","1693","20210504",""
"20210501","4호선","이촌(국립중앙박물관)","5329","6022","20210504",""
"20210501","4호선","신용산","8343","8871","20210504",""
"20210501","4호선","삼각지","2744","3608","20210504",""
"20210501","4호선","숙대입구(갈월)","8198","8037","20210504",""
"20210501","4호선","서울역","4511","10607","20210504",""
"20210501","4호선","회현(남대문시장)","16732","17026","20210504",""
"20210501","4호선","명동","11152","12627","20210504",""
"20210501","4호선","충무로","11007","11283","20210504",""
"20210501","4호선","동대문역사문화공원(DDP)","10076","8719","20210504",""
"20210501","4호선","동대문","13880","13662","20210504",""
"20210501","4호선","혜화","21623","21978","20210504",""
"20210501","4호선","한성대입구(삼선교)","9241","9124","20210504",""
"20210501","4호선","성신여대입구(돈암)","14798","14042","20210504",""
"20210501","4호선","길음","12035","11581","20210504",""
"20210501","4호선","미아사거리","19651","18753","20210504",""
"20210501","4호선","미아(서울사이버대학)","9671","9032","20210504",""
"20210501","4호선","수유(강북구청)","23191","22501","20210504",""
"20210501","3호선","오금","3422","3305","20210504",""
"20210501","3호선","경찰병원","3547","3363","20210504",""
"20210501","3호선","가락시장","5485","5181","20210504",""
"20210501","3호선","수서","11495","11546","20210504",""
"20210501","3호선","일원","3604","3711","20210504",""
"20210501","3호선","대청","4773","4480","20210504",""
"20210501","3호선","학여울","2928","2971","20210504",""
"20210501","3호선","대치","7053","6608","20210504",""
"20210501","3호선","도곡","3345","3390","20210504",""
"20210501","3호선","매봉","5103","5055","20210504",""
"20210501","3호선","양재(서초구청)","17674","18842","20210504",""
"20210501","3호선","남부터미널(예술의전당)","19286","20221","20210504",""
"20210501","3호선","교대(법원.검찰청)","5729","3475","20210504",""
"20210501","3호선","고속터미널","43958","45622","20210504",""
"20210501","3호선","잠원","2872","2812","20210504",""
"20210501","3호선","신사","22473","22832","20210504",""
"20210501","3호선","압구정","21480","22247","20210504",""
"20210501","3호선","옥수","6034","6291","20210504",""
"20210501","3호선","금호","5279","4956","20210504",""
"20210501","3호선","약수","8089","7443","20210504",""
"20210501","3호선","동대입구","5275","5716","20210504",""
"20210501","3호선","충무로","1","0","20210504",""
"20210501","3호선","을지로3가","4332","4792","20210504",""
